"Product", "Produkt"
"Qty", "Antal"
"Price", "Pris"
"Shipping Methods", "Leveranssätt"
"Enter discount code", "Rabattkod"
"Apply Discount", "Använd"
"Cancel coupon", "Ta bort rabattkod"
"Private", "Privat"
"Business", "Företag"
"Currencies are not matching with what is allowed in CollectorBank checkout","Currencies are not matching with what is allowed in CollectorBank checkout"
"Cannot use Collector Checkout: ","Cannot use Collector Checkout: "
"Could not save order","Could not save order"
"Cart not found","Cart not found"
"Quote not found","Quote not found"
"Cart not in sync","Cart not in sync"
"Please refresh the page and try again.","Please refresh the page and try again."
"Grand total not in sync","Grand total not in sync"
"Items not in sync","Items not in sync"
"Quote total is zero","Quote total is zero"
"Quote is empty","Quote is empty"
"The url is no longer valid","The url is no longer valid"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"